system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Endothelium	En_M5	87850	12.034604439385314	12.305081784747143	1	0.0552446080336189	0.012276000000000002	0.0429686080336189
Endothelium	En_M6	10331	36.28787145484464	36.53230881506355	1	0.007016	0	0.007016
Endothelium	En_M7	9693	4.612813370473537	4.372629044120434	1	0	0	0
Endothelium	En_M8	18008	33.18319635717459	34.309698143180114	1	-0.010217	0	-0.010217
Endothelium	En_M9	9999	33.89348934893489	34.35963281256564	1	0.01008	0	0.01008
Epithelial_cells	Ep_M1	11493	7.501522665970591	7.532759552859062	1	0	0	0
Epithelial_cells	Ep_M10	33413	28.2499027324694	28.466314743885803	1	-0.040047	-0.042017	0.0019699999999999995
Epithelial_cells	Ep_M11	654	31.05198776758409	31.762780585441067	1	-0.0247	0	-0.0247
Epithelial_cells	Ep_M12	30	39.56666666666667	40.30893726318542	1	-0.094639	0	-0.094639
Epithelial_cells	Ep_M13	3454	28.154313839027218	28.617844226386865	1	-0.014978	0	-0.014978
Epithelial_cells	Ep_M14	29880	15.33413654618474	14.8546044249727	1	-0.0603724847075014	-0.014978	-0.045394484707501404
Epithelial_cells	Ep_M15	2080	7.719230769230769	7.687590238669733	1	-0.054657	-0.0247	-0.029956999999999998
Epithelial_cells	Ep_M16	26153	14.266049783963595	14.54316545911461	1	-0.018148807765687794	-0.038242	0.020093192234312204
Epithelial_cells	Ep_M17	199	25.97989949748744	25.396420441967788	1	-0.027547	0	-0.027547
Epithelial_cells	Ep_M18	155	39.303225806451614	38.86765407124673	1	-0.109658	0	-0.109658
Epithelial_cells	Ep_M19	2980	31.668456375838925	32.071233257012295	1	-0.080341	0	-0.080341
Epithelial_cells	Ep_M2	6328	10.674936788874842	9.498369695665383	1	-0.019728	0	-0.019728
Epithelial_cells	Ep_M20	2366	20.362214708368555	20.77057811884348	1	0.00609	-0.189999	0.196089
Epithelial_cells	Ep_M21	59952	7.190969442220443	7.350172509814615	1	0.113727178573484	-0.5443	0.658027178573484
Epithelial_cells	Ep_M22	112634	12.419819947795515	12.049528142257325	1	0.0657161066474135	0.038631	0.027085106647413495
Epithelial_cells	Ep_M23	1384	23.57369942196532	22.93855829016844	1	0	0	0
Epithelial_cells	Ep_M24	912	32.584429824561404	33.65292749191887	1	-0.080081	0.029353	-0.109434
Epithelial_cells	Ep_M25	936	34.3525641025641	34.54126669360193	1	-0.078161	0	-0.078161
Epithelial_cells	Ep_M26	905	38.550276243093926	38.62028955001262	1	-0.058622	0	-0.058622
Epithelial_cells	Ep_M3	13356	34.93845462713387	35.149269441980536	1	0.098406	0	0.098406
Epithelial_cells	Ep_M4	536	37.3134328358209	37.02920734105827	1	-0.011036	0	-0.011036
Epithelial_cells	Ep_M5	29374	25.73517396336897	25.847871944191464	1	-0.021374	0.04496299999999999	-0.066337
